

















"Heterohyrax brucei","Balanites aegyptiacus"
"Heterohyrax brucei","Capparis tomentosa"
"Heterohyrax brucei","Cenchrus ciliaris"
"Heterohyrax brucei","Cissus quadrangularis"
"Heterohyrax brucei","Cissus rotundifolia"
"Heterohyrax brucei","Commelina africana"
"Heterohyrax brucei","Commiphora"
"Heterohyrax brucei","Commiphora schimperi"
"Heterohyrax brucei","Cordia ovalis"
"Heterohyrax brucei","Croton dichogamus"
"Heterohyrax brucei","Cynodon dactylon"
"Heterohyrax brucei","Cyphostemma"
"Heterohyrax brucei","Digitaria"
"Heterohyrax brucei","Emilia coccinea"
"Heterohyrax brucei","Ficus"
"Heterohyrax brucei","Ficus glumosa"
"Heterohyrax brucei","Ficus ingens"
"Heterohyrax brucei","Grewia"
"Heterohyrax brucei","Grewia trichocarpa"
"Heterohyrax brucei","Heliotropium"
"Heterohyrax brucei","Heteropogon contortus"
"Heterohyrax brucei","Hibiscus"
"Heterohyrax brucei","Hoslundia opposita"
"Heterohyrax brucei","Hypoestes forskaolii"
"Heterohyrax brucei","Indigofera"
"Heterohyrax brucei","Ipomoea obscura"
"Heterohyrax brucei","Jasminum"
"Heterohyrax brucei","Kalanchoe"
"Heterohyrax brucei","Kedrostis foetidissima"
"Heterohyrax brucei","Lippia"
"Heterohyrax brucei","Maerua triphylla"
"Heterohyrax brucei","Ocimum"
"Heterohyrax brucei","Panicum maximum"
"Heterohyrax brucei","Pappea"
"Heterohyrax brucei","Pavetta gardeniifolia gardeniifolia"
"Heterohyrax brucei","Pavonia burchellii"
"Heterohyrax brucei","Pennisetum"
"Heterohyrax brucei","Pennisetum mezianum"
"Heterohyrax brucei","Phyllanthus sepialis"
"Heterohyrax brucei","Pupalia lappacea"
"Heterohyrax brucei","Sansevieria"
"Heterohyrax brucei","Sclerocarya birrea"
"Heterohyrax brucei","Senna didymobotrya"
"Heterohyrax brucei","Solanum"
"Heterohyrax brucei","Themeda triandra"
"Heterohyrax brucei","Tricholaena teneriffae"
"Heterohyrax brucei","Turraea"
"Heterohyrax brucei","Ximenia caffra"
"Heterohyrax brucei","Ziziphus"





















"Hippopotamus amphibius","Bothriochloa"
"Hippopotamus amphibius","Chloris gayana"
"Hippopotamus amphibius","Cynodon dactylon"
