Size,Web,Ecozone,Scenario,Proportion,Area
Microcarnivore,162,NT,PN,8,Protected
Microherbivore,162,NT,PN,16,Protected
Megaherbivore,163,NT,PN,2,Protected
Mesocarnivore,163,NT,PN,2,Protected
Mesoherbivore,163,NT,PN,4,Protected
Microcarnivore,163,NT,PN,15,Protected
Microherbivore,163,NT,PN,32,Protected
Megaherbivore,164,NT,PN,3,Protected
Mesocarnivore,164,NT,PN,1,Protected
Mesoherbivore,164,NT,PN,5,Protected
Microcarnivore,164,NT,PN,6,Protected
Microherbivore,164,NT,PN,11,Protected
Megacarnivore,165,NT,PN,3,Protected
Megaherbivore,165,NT,PN,7,Protected
Mesocarnivore,165,NT,PN,1,Protected
Mesoherbivore,165,NT,PN,8,Protected
Microcarnivore,165,NT,PN,14,Protected
Microherbivore,165,NT,PN,22,Protected
Megacarnivore,166,PA,PN,1,Protected
Megaherbivore,166,PA,PN,2,Protected
Mesocarnivore,166,PA,PN,4,Protected
Mesoherbivore,166,PA,PN,11,Protected
Microcarnivore,166,PA,PN,16,Protected
Microherbivore,166,PA,PN,29,Protected
Megacarnivore,167,PA,PN,1,Protected
Megaherbivore,167,PA,PN,1,Protected
Mesocarnivore,167,PA,PN,2,Protected
Mesoherbivore,167,PA,PN,7,Protected
Microcarnivore,167,PA,PN,8,Protected
Microherbivore,167,PA,PN,12,Protected
Megacarnivore,168,AT,PN,3,Protected
Megaherbivore,168,AT,PN,3,Protected
Mesocarnivore,168,AT,PN,6,Protected
Mesoherbivore,168,AT,PN,16,Protected
Microcarnivore,168,AT,PN,30,Protected
Microherbivore,168,AT,PN,34,Protected
Megacarnivore,169,"NA",PN,4,Protected
Megaherbivore,169,"NA",PN,3,Protected
Mesocarnivore,169,"NA",PN,3,Protected
Mesoherbivore,169,"NA",PN,14,Protected
Microcarnivore,169,"NA",PN,25,Protected
Microherbivore,169,"NA",PN,19,Protected
Megacarnivore,170,"NA",PN,4,Protected
Megaherbivore,170,"NA",PN,4,Protected
Mesocarnivore,170,"NA",PN,4,Protected
Mesoherbivore,170,"NA",PN,12,Protected
Microcarnivore,170,"NA",PN,26,Protected
Microherbivore,170,"NA",PN,16,Protected
Megacarnivore,171,"NA",PN,2,Protected
Megaherbivore,171,"NA",PN,3,Protected
Mesocarnivore,171,"NA",PN,3,Protected
Mesoherbivore,171,"NA",PN,11,Protected
Microcarnivore,171,"NA",PN,22,Protected
Microherbivore,171,"NA",PN,13,Protected
Megacarnivore,172,"NA",PN,4,Protected
Megaherbivore,172,"NA",PN,4,Protected
Mesocarnivore,172,"NA",PN,3,Protected
Mesoherbivore,172,"NA",PN,11,Protected
Microcarnivore,172,"NA",PN,23,Protected
Microherbivore,172,"NA",PN,14,Protected
Megacarnivore,173,"NA",PN,3,Protected
Megaherbivore,173,"NA",PN,2,Protected
Mesocarnivore,173,"NA",PN,2,Protected
Mesoherbivore,173,"NA",PN,7,Protected
Microcarnivore,173,"NA",PN,20,Protected
Microherbivore,173,"NA",PN,14,Protected
Megacarnivore,174,"NA",PN,3,Protected
Megaherbivore,174,"NA",PN,1,Protected
Mesocarnivore,174,"NA",PN,2,Protected
Mesoherbivore,174,"NA",PN,5,Protected
Microcarnivore,174,"NA",PN,17,Protected
Microherbivore,174,"NA",PN,15,Protected
Megacarnivore,175,"NA",PN,6,Protected
Megaherbivore,175,"NA",PN,5,Protected
Mesocarnivore,175,"NA",PN,3,Protected
Mesoherbivore,175,"NA",PN,16,Protected
Microcarnivore,175,"NA",PN,25,Protected
Microherbivore,175,"NA",PN,25,Protected
Megacarnivore,176,"NA",PN,5,Protected
Megaherbivore,176,"NA",PN,5,Protected
Mesocarnivore,176,"NA",PN,5,Protected
Mesoherbivore,176,"NA",PN,18,Protected
Microcarnivore,176,"NA",PN,28,Protected
Microherbivore,176,"NA",PN,41,Protected
Megacarnivore,177,"NA",PN,6,Protected
Megaherbivore,177,"NA",PN,5,Protected
Mesocarnivore,177,"NA",PN,2,Protected
Mesoherbivore,177,"NA",PN,12,Protected
Microcarnivore,177,"NA",PN,22,Protected
Microherbivore,177,"NA",PN,15,Protected
Megacarnivore,178,"NA",PN,5,Protected
Megaherbivore,178,"NA",PN,3,Protected
Mesocarnivore,178,"NA",PN,5,Protected
Mesoherbivore,178,"NA",PN,13,Protected
Microcarnivore,178,"NA",PN,24,Protected
Microherbivore,178,"NA",PN,19,Protected
Megacarnivore,179,"NA",PN,5,Protected
Megaherbivore,179,"NA",PN,5,Protected
Mesocarnivore,179,"NA",PN,5,Protected
Mesoherbivore,179,"NA",PN,16,Protected
Microcarnivore,179,"NA",PN,21,Protected
Microherbivore,179,"NA",PN,25,Protected
Megacarnivore,180,"NA",PN,6,Protected
Megaherbivore,180,"NA",PN,5,Protected
Mesocarnivore,180,"NA",PN,3,Protected
Mesoherbivore,180,"NA",PN,13,Protected
Microcarnivore,180,"NA",PN,19,Protected
Microherbivore,180,"NA",PN,22,Protected
Megacarnivore,181,"NA",PN,5,Protected
Megaherbivore,181,"NA",PN,3,Protected
Mesocarnivore,181,"NA",PN,3,Protected
Mesoherbivore,181,"NA",PN,12,Protected
Microcarnivore,181,"NA",PN,20,Protected
Microherbivore,181,"NA",PN,22,Protected
Megacarnivore,182,"NA",PN,4,Protected
Megaherbivore,182,"NA",PN,2,Protected
Mesocarnivore,182,"NA",PN,3,Protected
Mesoherbivore,182,"NA",PN,9,Protected
Microcarnivore,182,"NA",PN,17,Protected
Microherbivore,182,"NA",PN,22,Protected
Megacarnivore,183,"NA",PN,3,Protected
Mesocarnivore,183,"NA",PN,2,Protected
Mesoherbivore,183,"NA",PN,5,Protected
Microcarnivore,183,"NA",PN,12,Protected
Microherbivore,183,"NA",PN,8,Protected
Megacarnivore,184,"NA",PN,1,Protected
Mesocarnivore,184,"NA",PN,1,Protected
Mesoherbivore,184,"NA",PN,2,Protected
Microcarnivore,184,"NA",PN,3,Protected
Microherbivore,184,"NA",PN,1,Protected
Mesocarnivore,185,"NA",PN,1,Protected
Mesoherbivore,185,"NA",PN,1,Protected
Microcarnivore,185,"NA",PN,4,Protected
Microherbivore,185,"NA",PN,2,Protected
Megacarnivore,186,"NA",PN,1,Protected
Megaherbivore,186,"NA",PN,3,Protected
Mesocarnivore,186,"NA",PN,2,Protected
Mesoherbivore,186,"NA",PN,6,Protected
Microcarnivore,186,"NA",PN,17,Protected
Microherbivore,186,"NA",PN,14,Protected
Megacarnivore,187,"NA",PN,4,Protected
Megaherbivore,187,"NA",PN,4,Protected
Mesocarnivore,187,"NA",PN,2,Protected
Mesoherbivore,187,"NA",PN,12,Protected
Microcarnivore,187,"NA",PN,18,Protected
Microherbivore,187,"NA",PN,24,Protected
Mesocarnivore,188,"NA",PN,1,Protected
Mesoherbivore,188,"NA",PN,2,Protected
Microcarnivore,188,"NA",PN,4,Protected
Microherbivore,188,"NA",PN,1,Protected
Megacarnivore,19,AA,PN,1,Protected
Megaherbivore,19,AA,PN,1,Protected
Mesocarnivore,19,AA,PN,2,Protected
Mesoherbivore,19,AA,PN,20,Protected
Microcarnivore,19,AA,PN,14,Protected
Microherbivore,19,AA,PN,29,Protected
Mesocarnivore,190,"NA",PN,1,Protected
Mesoherbivore,190,"NA",PN,1,Protected
Microcarnivore,190,"NA",PN,4,Protected
Microherbivore,190,"NA",PN,2,Protected
Megacarnivore,191,"NA",PN,2,Protected
Mesocarnivore,191,"NA",PN,2,Protected
Mesoherbivore,191,"NA",PN,3,Protected
Microcarnivore,191,"NA",PN,13,Protected
Microherbivore,191,"NA",PN,5,Protected
Megacarnivore,192,"NA",PN,2,Protected
Megaherbivore,192,"NA",PN,1,Protected
Mesocarnivore,192,"NA",PN,2,Protected
Mesoherbivore,192,"NA",PN,5,Protected
Microcarnivore,192,"NA",PN,13,Protected
Microherbivore,192,"NA",PN,11,Protected
Megacarnivore,193,"NA",PN,2,Protected
Mesocarnivore,193,"NA",PN,1,Protected
Mesoherbivore,193,"NA",PN,4,Protected
Microcarnivore,193,"NA",PN,8,Protected
Microherbivore,193,"NA",PN,5,Protected
Megacarnivore,194,"NA",PN,3,Protected
Mesocarnivore,194,"NA",PN,2,Protected
Mesoherbivore,194,"NA",PN,5,Protected
Microcarnivore,194,"NA",PN,18,Protected
Microherbivore,194,"NA",PN,16,Protected
Megacarnivore,195,"NA",PN,1,Protected
Mesocarnivore,195,"NA",PN,1,Protected
Mesoherbivore,195,"NA",PN,2,Protected
Microcarnivore,195,"NA",PN,3,Protected
Microherbivore,195,"NA",PN,1,Protected
Mesocarnivore,196,"NA",PN,1,Protected
Mesoherbivore,196,"NA",PN,1,Protected
Microcarnivore,196,"NA",PN,4,Protected
Microherbivore,196,"NA",PN,2,Protected
Megacarnivore,197,"NA",PN,2,Protected
Mesocarnivore,197,"NA",PN,1,Protected
Mesoherbivore,197,"NA",PN,3,Protected
Microcarnivore,197,"NA",PN,8,Protected
Microherbivore,197,"NA",PN,6,Protected
Mesocarnivore,198,NT,PN,2,Protected
Mesoherbivore,198,NT,PN,2,Protected
Microcarnivore,198,NT,PN,5,Protected
Microherbivore,198,NT,PN,8,Protected
Mesocarnivore,199,NT,PN,1,Protected
Mesoherbivore,199,NT,PN,1,Protected
Microcarnivore,199,NT,PN,3,Protected
Microherbivore,199,NT,PN,2,Protected
Megacarnivore,2,AT,PN,3,Protected
Megaherbivore,2,AT,PN,3,Protected
Mesocarnivore,2,AT,PN,8,Protected
Mesoherbivore,2,AT,PN,18,Protected
Microcarnivore,2,AT,PN,53,Protected
Microherbivore,2,AT,PN,50,Protected
Mesocarnivore,20,AA,PN,1,Protected
Microcarnivore,20,AA,PN,9,Protected
Microherbivore,20,AA,PN,27,Protected
Megacarnivore,200,PA,PN,2,Protected
Megaherbivore,200,PA,PN,3,Protected
Mesocarnivore,200,PA,PN,2,Protected
Mesoherbivore,200,PA,PN,7,Protected
Microcarnivore,200,PA,PN,19,Protected
Microherbivore,200,PA,PN,13,Protected
Microcarnivore,201,PA,PN,1,Protected
Microherbivore,201,PA,PN,1,Protected
Megacarnivore,202,PA,PN,2,Protected
Megaherbivore,202,PA,PN,3,Protected
Mesocarnivore,202,PA,PN,3,Protected
